regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
BSU22440	BSU30230	-20.0	20.0	0.99573347140550106	0.99999980367506536	-1
BSU22440	BSU30220	-20.0	20.0	0.9950837840989295	0.99999823307558811	-1
BSU22440	BSU30210	-20.0	20.0	0.99344129937079195	0.99999607350130704	-1
BSU22440	BSU30200	-20.0	20.0	0.98939328779050861	0.99999303046481991	-1
BSU22440	BSU30190	-20.0	20.0	0.985963354801345	0.999983705030424	-1
BSU24520	BSU30760	-20.0	20.0	0.98511989164965241	0.99998321421808734	-1
BSU24520	BSU30750	-20.0	20.0	0.98485074982187104	0.99998233075588139	-1
BSU37650	BSU33440	20.0	20.0	0.98499213553698506	0.99998164361861019	1
BSU22440	BSU30240	-20.0	20.0	0.98604621422193595	0.99997948404432901	-1
BSU03620	BSU03640	20.0	20.0	0.98497189937490193	0.99997928771939437	1
BSU37650	BSU33430	20.0	20.0	0.98415215104413001	0.99997879690705771	1
BSU15320	BSU14810	20.0	20.0	0.98310877132401497	0.99997035493486774	0
BSU27890	BSU27870	-20.0	20.0	0.98242388338886544	0.99996898066032514	-1
BSU24250	BSU11230	-20.0	20.0	0.98217389616982143	0.99996868617292323	-1
BSU27890	BSU27860	-20.0	20.0	0.98179531589765801	0.99996691924851133	-1
BSU24520	BSU30740	-20.0	20.0	0.9811704124866516	0.99996515232409944	-1
BSU13150	BSU13140	-20.0	20.0	0.9815223840102274	0.99996397437449158	-1
BSU15330	BSU03930	20.0	20.0	0.97985971764025748	0.9999559250521709	1
BSU12560	BSU12600	20.0	20.0	0.9798077013336004	0.99995572872723626	1
BSU24250	BSU11220	-20.0	20.0	0.97884495699422847	0.99994817021725224	-1
BSU24250	BSU11240	-20.0	20.0	0.9793600126677231	0.99994689410517701	-1
BSU03620	BSU03651	20.0	20.0	0.97923565194033646	0.99994149516947406	1
BSU12560	BSU12610	20.0	20.0	0.97898097610475354	0.99993953192012752	1
BSU12560	BSU12630	20.0	20.0	0.97804439000037346	0.99993639072117313	1
BSU24250	BSU11210	-20.0	20.0	0.9776025177470935	0.9999337403345554	-1
BSU12560	BSU12650	20.0	20.0	0.97773273037404751	0.99993079546053565	1
BSU15320	BSU14250	20.0	20.0	0.97649875189267599	0.99992814507391781	1
BSU25760	BSU16730	20.0	20.0	0.97675636365294749	0.99992667263690793	1
BSU12560	BSU12620	20.0	20.0	0.97559505998705198	0.99991881963952189	1
BSU12560	BSU12649	20.0	20.0	0.97601053606497001	0.99991469681589418	0
BSU25760	BSU37910	20.0	20.0	0.97590114770962755	0.99991420600355763	1
BSU40540	BSU07830	20.0	20.0	0.977710479437084	0.99991273356654775	1
BSU39990	BSU39980	-20.0	20.0	0.9763013710014965	0.99991165377940716	-1
BSU03620	BSU03630	20.0	20.0	0.97517443232560042	0.99990625484370421	1
BSU07390	BSU07400	-20.0	20.0	0.97519365497240695	0.99990183753267459	-1
BSU37310	BSU37270	20.0	20.0	0.97517552110890415	0.99990154304527268	1
BSU15330	BSU34510	20.0	20.0	0.97414218892470106	0.99990085590800137	1
BSU15330	BSU03920	20.0	20.0	0.97400371152625209	0.99989997244579543	1
BSU24520	BSU30770	-20.0	20.0	0.97530382272681959	0.9998993834709915	-1
BSU25760	BSU37900	20.0	20.0	0.97444654805616593	0.99989899082112221	1
BSU12560	BSU12660	20.0	20.0	0.97488031778461948	0.99989850000878555	1
BSU37310	BSU37260	20.0	20.0	0.97391202109623143	0.99989643859697175	1
BSU15330	BSU23410	20.0	20.0	0.97415353479237643	0.99989427902269057	1
BSU25760	BSU16740	20.0	20.0	0.97398545183562002	0.99989388637282128	1
BSU15330	BSU13930	20.0	20.0	0.97465805448311149	0.999893493722952	1
BSU19200	BSU19180	20.0	20.0	0.97283412168462791	0.99989241393581141	1
BSU15320	BSU16720	20.0	20.0	0.97421831949618598	0.9998910396612688	0
BSU15320	BSU11790	20.0	20.0	0.97166776364276797	0.99988848743711833	1
BSU22440	BSU30180	-20.0	20.0	0.97451677939474946	0.99988819294971643	-1
BSU15320	BSU19330	20.0	20.0	0.972937785674448	0.99988799662478167	1
BSU15320	BSU09400	20.0	20.0	0.97254280002153948	0.99988318666388276	1
BSU27890	BSU27850	-20.0	20.0	0.972479024672119	0.99988033995233039	-1
BSU15330	BSU23402	20.0	20.0	0.97118693373643805	0.99987867119038576	0
BSU12560	BSU12619	20.0	20.0	0.97279817511849997	0.99987710059090862	0
BSU12560	BSU12640	20.0	20.0	0.97205753230155245	0.99987621712870267	1
BSU15330	BSU26970	20.0	20.0	0.97067226077419311	0.99987621712870267	1
BSU15330	BSU05530	20.0	20.0	0.97156284398955806	0.99987258511741162	1
BSU15320	BSU19740	20.0	20.0	0.97170018623359344	0.99987248695494435	1
BSU15330	BSU23420	20.0	20.0	0.97290385678343805	0.99987003289326115	1
BSU15320	BSU31730	20.0	20.0	0.97034712540016654	0.99986777515651271	1
BSU13480	BSU13490	-20.0	20.0	0.97105399889940802	0.99986080562133262	-1
BSU15320	BSU17320	20.0	20.0	0.96952153543101205	0.99985629014783561	0
BSU15330	BSU23440	20.0	20.0	0.97109172159672341	0.99985471954835836	1
BSU15330	BSU34470	20.0	20.0	0.97057573630367755	0.99985255997407729	0
BSU03470	BSU03460	20.0	20.0	0.97197070904715843	0.99985187283680599	1
BSU15330	BSU22930	20.0	20.0	0.96905261624540251	0.99984637573863577	1
BSU24250	BSU11200	-20.0	20.0	0.96950388018319145	0.99984303821474674	-1
BSU15330	BSU23430	20.0	20.0	0.97043234588785943	0.99983754111657652	1
BSU27080	BSU27040	20.0	20.0	0.97139784083783787	0.9998372466291745	1
BSU15330	BSU26980	20.0	20.0	0.96864504579680955	0.99983705030423986	1
BSU03960	BSU03950	-20.0	20.0	0.96931366395786001	0.99983606867956654	-1
BSU15320	BSU19690	20.0	20.0	0.96859940170284298	0.99983557786722999	1
BSU15320	BSU19700	20.0	20.0	0.969081988120436	0.99983547970476261	1
BSU38700	BSU38660	20.0	20.0	0.96938650135846749	0.9998320440184062	1
BSU15320	BSU19710	20.0	20.0	0.96854261997008295	0.99982870649451716	1
BSU38700	BSU38670	20.0	20.0	0.96967580014481647	0.99982713589504002	1
BSU15320	BSU19730	20.0	20.0	0.96777261684745852	0.9998261542703667	1
BSU25760	BSU37890	20.0	20.0	0.96849174589095899	0.99982487815829146	1
BSU15320	BSU19720	20.0	20.0	0.96823697509566642	0.99982311123387968	1
BSU15320	BSU18260	20.0	20.0	0.96918730102333706	0.99982291490894504	1
BSU31070	BSU33720	-20.0	20.0	0.96807059467193157	0.99981997003492518	-1
BSU03470	BSU03450	20.0	20.0	0.96850547148267041	0.99981898841025196	1
BSU15320	BSU23480	20.0	20.0	0.96740271333984551	0.9998171233233728	0
BSU15330	BSU08550	20.0	20.0	0.96524857843650502	0.99981574904883019	1
BSU25760	BSU30920	20.0	20.0	0.96837382816269457	0.99981417844935305	1
BSU15330	BSU26950	20.0	20.0	0.96667568928886949	0.99981270601234318	1
BSU38700	BSU38680	20.0	20.0	0.96759585224419198	0.99981152806273521	1
BSU15330	BSU39590	20.0	20.0	0.96631603862573812	0.99980868135118284	1
BSU05420	BSU05430	20.0	20.0	0.96853140638579305	0.99980691442677094	1
BSU37310	BSU37280	20.0	20.0	0.96662800133482651	0.99980544198976107	1
BSU15330	BSU17980	20.0	20.0	0.96544769138591047	0.99979798164224432	1
BSU25760	BSU37870	20.0	20.0	0.96564268391189256	0.99979287719394339	1
BSU15330	BSU30840	20.0	20.0	0.96745516326848191	0.99979091394459696	1
BSU15330	BSU26990	20.0	20.0	0.96486946253284744	0.99978767458317519	1
BSU24250	BSU11250	-20.0	20.0	0.96469779803137534	0.99978630030863258	-1
BSU15330	BSU22290	20.0	20.0	0.96569703673142349	0.99978620214616531	1
BSU27080	BSU27050	20.0	20.0	0.97072907236810202	0.99978551500889401	1
BSU15330	BSU32720	20.0	20.0	0.96621346285698906	0.99978541684642663	0
BSU25760	BSU37860	20.0	20.0	0.96605558659934254	0.99978443522175342	1
BSU15330	BSU26960	20.0	20.0	0.96473743937820555	0.99978266829734153	1
BSU15330	BSU13290	20.0	20.0	0.96444334262278342	0.99978158851020105	0
BSU38700	BSU38690	20.0	20.0	0.96549958210537401	0.99977785833644262	1
BSU15320	BSU25600	20.0	20.0	0.96483906357634897	0.99977677854930203	0
BSU15330	BSU06559	20.0	20.0	0.96404581718253046	0.99977638589943274	0
BSU37310	BSU37250	20.0	20.0	0.96455790534566743	0.99977118328866454	1
BSU37310	BSU37320	20.0	20.0	0.96187690980598051	0.99976166152933399	1
BSU25760	BSU37880	20.0	20.0	0.96390813647548745	0.99975842216791222	1
BSU15320	BSU19689	20.0	20.0	0.96355936059058545	0.99975547729389247	1
BSU07010	BSU07030	20.0	20.0	0.96163233177424567	0.99974929305845095	1
BSU15330	BSU23401	20.0	20.0	0.96289795649549403	0.99974860592117964	0
BSU25760	BSU37850	20.0	20.0	0.96306921552453706	0.999748409596245	1
BSU12560	BSU12671	20.0	20.0	0.96243433962166702	0.99974664267183311	0
BSU15320	BSU28100	20.0	20.0	0.96182990183069395	0.99974448309755204	1
BSU15320	BSU17720	20.0	20.0	0.96087278903554685	0.99974242168573813	0
BSU15330	BSU08640	20.0	20.0	0.96164760298094154	0.99974124373613027	0
BSU24020	BSU24010	20.0	20.0	0.96897365764493504	0.99974055659885896	1
BSU27520	BSU29340	-20.0	20.0	0.9628710301186485	0.99974055659885896	-1
BSU27520	BSU29350	-20.0	20.0	0.96345421196744851	0.99973967313665302	-1
BSU27520	BSU29330	-20.0	20.0	0.95981029459427392	0.99972642120356414	-1
BSU30400	BSU30370	20.0	20.0	0.96743521740196547	0.99972357449201166	1
BSU15320	BSU25520	20.0	20.0	0.95964436286182342	0.99972180756759987	0
BSU07010	BSU07060	20.0	20.0	0.95943573283704708	0.99972072778045928	1
BSU15330	BSU17990	20.0	20.0	0.95718366095039809	0.99971807739384144	1
BSU15320	BSU10400	20.0	20.0	0.96235503582322646	0.99971591781956026	1
BSU33950	BSU33900	-20.0	20.0	0.96083647483600798	0.99971130418359599	-1
BSU07010	BSU07050	20.0	20.0	0.95873114419918537	0.99971110785866135	1
BSU25760	BSU25150	20.0	20.0	0.95994204566993102	0.99971071520879207	1
BSU12560	BSU12710	20.0	20.0	0.96034324703977503	0.99971032255892278	0
BSU10560	BSU10540	20.0	20.0	0.96428507394967655	0.99970875195944553	1
BSU15330	BSU13470	20.0	20.0	0.959299508463618	0.99970718135996839	1
BSU15320	BSU19660	20.0	20.0	0.95974904584822651	0.99970708319750101	0
BSU15330	BSU17830	20.0	20.0	0.95943949082342561	0.99970659238516435	0
BSU15320	BSU17640	20.0	20.0	0.9588445249236055	0.9997036475111446	1
BSU15330	BSU19639	20.0	20.0	0.959612218206364	0.99969942652504962	0
BSU32560	BSU32590	-20.0	20.0	0.95817568154825505	0.99969873938777831	-1
BSU32870	BSU32880	-20.0	20.0	0.95876878314090819	0.99969716878830117	-1
BSU08100	BSU08070	20.0	20.0	0.96487791773199061	0.9996959908386932	1
BSU07010	BSU07080	20.0	20.0	0.96088552805913952	0.99969481288908535	1
BSU15320	BSU08920	20.0	20.0	0.95789253424432741	0.99969235882740226	0
BSU33680	BSU08240	-20.0	20.0	0.95874967241192754	0.99969216250246751	-1
BSU32560	BSU32600	-20.0	20.0	0.95685638671470752	0.99969059190299037	-1
BSU15320	BSU19320	20.0	20.0	0.95952252466678545	0.99968794151637252	1
BSU15320	BSU19110	20.0	20.0	0.95733532748387495	0.99968656724183003	0
BSU39660	BSU39620	20.0	20.0	0.95950497710760563	0.99968450583001622	1
BSU18460	BSU18440	20.0	20.0	0.95448974827894006	0.99968381869274492	1
BSU27890	BSU27880	-20.0	20.0	0.95517381541550161	0.9996814627935291	-1
BSU07010	BSU07070	20.0	20.0	0.9590008422068429	0.99968116830612708	1
BSU12560	BSU12690	20.0	20.0	0.95661756136198495	0.99967891056937863	0
BSU05330	BSU05340	-20.0	20.0	0.95786114814212497	0.9996783215945747	-1
BSU30400	BSU30380	20.0	20.0	0.96192857746763605	0.99967449325834901	1
BSU04730	BSU24010	20.0	20.0	0.96547912651330758	0.99967125389692724	1
BSU12560	BSU12700	20.0	20.0	0.95676687755520251	0.99966840718537486	0
BSU19540	BSU08240	-20.0	20.0	0.95582453245217702	0.99965996521318479	-1
BSU27520	BSU29360	-20.0	20.0	0.95643026836482536	0.99965878726357693	-1
BSU12560	BSU12590	20.0	20.0	0.95700620688549409	0.99965859093864229	1
BSU07010	BSU07020	20.0	20.0	0.955721407607801	0.99965829645124027	1
BSU29400	BSU29330	20.0	20.0	0.95467570562348747	0.99965662768929575	1
BSU15320	BSU32280	20.0	20.0	0.96084539685619808	0.99965456627748195	0
BSU15330	BSU22920	20.0	20.0	0.95528669800938948	0.99965417362761266	1
BSU22440	BSU32030	-20.0	20.0	0.95581417660417856	0.99965329016540672	0
BSU31070	BSU33710	-20.0	20.0	0.95640967534078747	0.99965319200293934	-1
BSU15330	BSU28660	20.0	20.0	0.95344698037161801	0.99965171956592946	1
BSU15320	BSU11730	20.0	20.0	0.95509232944179256	0.99965014896645232	1
BSU15320	BSU28210	20.0	20.0	0.9556520352585689	0.99964661511762853	0
BSU38700	BSU38650	20.0	20.0	0.95603217841522303	0.99964298310633759	1
BSU25760	BSU07300	20.0	20.0	0.95433927305689603	0.99963797682050393	1
BSU29400	BSU29350	20.0	20.0	0.95703991049392556	0.99963365767194168	1
BSU29400	BSU29340	20.0	20.0	0.95578388852446361	0.9996335595094743	1
BSU12560	BSU12780	20.0	20.0	0.9532386313847675	0.99962953484831396	0
BSU19540	BSU08230	-20.0	20.0	0.95408012274003395	0.99962796424883671	-1
BSU27520	BSU29370	-20.0	20.0	0.95393815574962915	0.99962531386221898	-1
BSU27520	BSU29310	-20.0	20.0	0.95414578385399995	0.99962492121234969	-1
BSU27080	BSU27070	20.0	20.0	0.9555140150536201	0.99962276163806851	1
BSU34720	BSU34690	20.0	20.0	0.95443462685630243	0.99962079838872198	1
BSU34720	BSU34700	20.0	20.0	0.95346204240209098	0.99961893330184282	1
BSU25760	BSU30860	20.0	20.0	0.952529643313345	0.99961785351470223	1
BSU31070	BSU33700	-20.0	20.0	0.95374988647611803	0.99961716637743092	-1
BSU12560	BSU12720	20.0	20.0	0.952248942655743	0.99961392701600926	0
BSU25760	BSU30870	20.0	20.0	0.95248975436463812	0.99961245457899939	1
BSU15320	BSU08970	20.0	20.0	0.95048965267166197	0.99960803726796965	1
BSU26580	BSU26590	20.0	20.0	0.95017636449844067	0.99960666299342715	1
BSU15330	BSU18720	20.0	20.0	0.9511377208888756	0.99960312914460347	1
BSU18460	BSU18450	20.0	20.0	0.94992943815751407	0.99959723939656386	1
BSU15330	BSU24230	20.0	20.0	0.95186935003532902	0.99959684674669458	1
BSU27080	BSU27060	20.0	20.0	0.96713969463831406	0.99959144781099174	1
BSU03620	BSU03652	20.0	20.0	0.95138425278906302	0.99958987721151449	0
BSU33950	BSU33920	-20.0	20.0	0.949800202611365	0.99958958272411247	-1
BSU08100	BSU08080	20.0	20.0	0.96016894201435199	0.99958928823671056	1
BSU24250	BSU29440	-20.0	20.0	0.95286486757234701	0.99958752131229867	-1
BSU04160	BSU03982	20.0	20.0	0.95147790445424851	0.9995867360125601	1
BSU39990	BSU39970	-20.0	20.0	0.95198551325505387	0.99958614703775617	-1
BSU25760	BSU30880	20.0	20.0	0.95037884885954249	0.99957917750257608	1
BSU15320	BSU14830	20.0	20.0	0.94905963935601956	0.99957554549128502	0
BSU06140	BSU06150	20.0	20.0	0.95088720722082809	0.99957269877973254	1
BSU15330	BSU18710	20.0	20.0	0.9522098511445185	0.99957260061726527	0
BSU04730	BSU07850	20.0	20.0	0.94858808628868196	0.99956857595610493	1
BSU27890	BSU27840	-20.0	20.0	0.94869501864668948	0.99956700535662768	0
BSU15320	BSU06910	20.0	20.0	0.95118400475162856	0.9995666127067584	1
BSU00470	BSU06440	-20.0	20.0	0.9483041188135175	0.99956514026974852	-1
BSU15330	BSU22169	20.0	20.0	0.94834235913742149	0.99956131193352282	0
BSU33950	BSU33930	-20.0	20.0	0.94746599527423947	0.99955571667288523	-1
BSU27520	BSU29320	-20.0	20.0	0.94756059778634805	0.99955404791094071	-1
BSU00470	BSU06450	-20.0	20.0	0.94741899019299702	0.99955365526107143	-1
BSU25100	BSU03360	-20.0	20.0	0.94568358185256307	0.99955277179886548	-1
BSU27520	BSU29300	-20.0	20.0	0.94942329352466204	0.99955149568679025	-1
BSU23590	BSU23570	-20.0	20.0	0.94168233443207694	0.99955071038705168	-1
BSU15320	BSU08980	20.0	20.0	0.94667961662863553	0.99955051406211703	1
BSU31070	BSU33730	-20.0	20.0	0.94883440750196246	0.99954815816290121	-1
BSU06140	BSU06160	20.0	20.0	0.94885122424123103	0.99954756918809728	1
BSU12560	BSU12680	20.0	20.0	0.94600744896655797	0.99954531145134873	0
BSU27520	BSU29290	-20.0	20.0	0.94827246426073741	0.99954364268940421	-1
BSU15330	BSU10970	20.0	20.0	0.94616131816985549	0.99954167944005767	1
BSU25760	BSU17310	20.0	20.0	0.94585587839705254	0.99953922537837459	1
BSU15330	BSU10980	20.0	20.0	0.94545228840674755	0.99953844007863601	1
BSU29400	BSU29360	20.0	20.0	0.94936637945680968	0.99953834191616864	1
BSU12560	BSU12580	20.0	20.0	0.94699147844488452	0.99953726212902805	1
BSU15320	BSU10390	20.0	20.0	0.94629836255932998	0.99953235400566176	0
BSU15320	BSU27440	20.0	20.0	0.94615471040408505	0.99953009626891332	1
BSU12560	BSU12570	20.0	20.0	0.945470239260365	0.99952891831930546	1
